"scientificName","decimalLongitude","decimalLatitude"
"Amphibolurus muricatus",144.346954,-38.313511
"Amphibolurus muricatus",144.34329,-38.31912
"Amphibolurus muricatus",144.33761,-38.32104
"Amphibolurus muricatus",NA,NA
"Amphibolurus muricatus",144.256635,-38.379528
"Amphibolurus muricatus",144.34695,-38.31351
"Amphibolurus muricatus",144.517713,-38.252793
"Amphibolurus muricatus",144.250283,-38.377139
"Amphibolurus muricatus",144.34695,-38.31351
"Amphibolurus muricatus",144.27632,-38.09469
"Amphibolurus muricatus",144.42695,-37.95916
"Amphibolurus muricatus",144.21789,-38.39882
"Amphibolurus muricatus",144.346954,-38.313511
"Amphibolurus muricatus",144.3493,-38.31619
"Amphibolurus muricatus",144.20988,-38.39837
"Amphibolurus muricatus",144.14321,-38.0455
"Amphibolurus muricatus",144.537912,-38.243591
"Amphibolurus muricatus",144.136172,-38.051986
"Amphibolurus muricatus",144.36135,-38.14854
"Amphibolurus muricatus",144.18492,-37.8844
"Amphibolurus muricatus",144.427623,-38.281333
"Amphibolurus muricatus",144.528932,-38.17989
"Amphibolurus muricatus",144.20247,-38.39997
"Amphibolurus muricatus",144.525575,-38.243583
"Amphibolurus muricatus",144.046264,-38.073515
"Amphibolurus muricatus",144.429664,-38.280348
"Amphibolurus muricatus",144.335728,-38.321472
"Amphibolurus muricatus",144.52992,-38.244059
"Amphibolurus muricatus",144.198567,-37.824544
"Amphibolurus muricatus",144.346954,-38.313511
"Amphibolurus muricatus",144.528203,-38.246755
"Amphibolurus muricatus",144.494129,-38.287038
"Amphibolurus muricatus",144.60884,-38.28926
"Amphibolurus muricatus",144.20496,-38.39117
"Amphibolurus muricatus",144.346954,-38.313511
"Amphibolurus muricatus",144.21766,-38.39886
"Amphibolurus muricatus",144.229877,-38.395875
"Amphibolurus muricatus",144.249506,-38.378124
"Amphibolurus muricatus",144.18064,-37.88374
"Amphibolurus muricatus",144.27622,-38.37128
"Amphibolurus muricatus",144.530456,-38.246401
"Amphibolurus muricatus",144.346954,-38.313511
"Amphibolurus muricatus",144.3765,-37.94178
"Amphibolurus muricatus",144.346954,-38.313511
"Amphibolurus muricatus",144.531379,-38.242728
"Amphibolurus muricatus",144.035535,-38.051552
"Amphibolurus muricatus",144.210261,-38.396903
"Amphibolurus muricatus",144.35543,-38.31198
"Amphibolurus muricatus",144.252086,-37.867067
"Amphibolurus muricatus",144.498785,-38.288949
"Ctenophorus",141.72633,-35.85685
"Ctenophorus pictus",141.31864,-35.56974
"Diporiphora nobbi",141.37632,-34.95685
"Ctenophorus",141.40722,-35.96056
"Amphibolurus muricatus",144.49299,-37.64017
"Ctenophorus",142.35098,-34.80612
"Diporiphora nobbi",141.40965,-34.95685
"Rankinia diemensis",145.31639,-37.54139
"Amphibolurus muricatus",146.18986,-36.73034
"Ctenophorus pictus",141.37632,-34.95685
"Ctenophorus",142.43619,-35.55169
"Diporiphora nobbi",141.03254,-35.38643
"Diporiphora nobbi",142.26774,-34.6331
"Ctenophorus pictus",142.29524,-34.87706
"Ctenophorus pictus",141.52864,-35.11275
"Amphibolurus muricatus",142.72348,-37.23898
"Ctenophorus",141.06306,-34.73245
"Diporiphora nobbi",142.31081,-34.68573
"Ctenophorus",142.43619,-35.55169
"Ctenophorus",142.35098,-34.80612
"Amphibolurus muricatus",145.22831,-37.53289
"Ctenophorus",142.35098,-34.80612
"Intellagama lesueurii howitti",148.15941,-37.44134
"Amphibolurus muricatus",145.47107,-37.61559
"Ctenophorus",141.58625,-34.72835
"Pogona vitticeps",141.44299,-34.95685
"Ctenophorus pictus",142.58335,-34.83848
"Amphibolurus muricatus",145.17646,-38.17015
"Amphibolurus norrisi",141.90328,-36.52062
"Ctenophorus",141.65967,-35.85685
"Diporiphora nobbi",142.24236,-34.67761
"Ctenophorus pictus",142.45532,-35.51179
